,path,id,review_title,stars,reviewDate,reviewNumHelp,reviewVerified,reviewComment
10,052594480X,R1BFM1V4PCD5SH,I recommend this book to everyone I know,5.0 out of 5 stars,"Reviewed in the United States on September 18, 2015",,Verified Purchase,"I found this book in my local library a year or so ago, never heard of it before, skimmed through it, decided it was worth a read, then started as soon as I got home & couldn't put it down, so I went on Amazon.com and ordered my own copy. I recommend this book to everyone I know. Poor Betty--losing her father & distant relatives in the Holocaust, surviving it herself, losing Richie, marrying Otto, starting a new life in America, then finding out that Otto had known since 1950 that Richie was alive & had been searching for her. Hollywood should definitely make a movie of Betty's story, it's that intriguing. I was glad to see that she had some ""closure"" and found happiness with Otto. Betty & her son, Robert both died in 2010 (he was in a car accident)."
11,052594480X,R34OS5J6BHXG1J,Life works in mysterious ways,5.0 out of 5 stars,"Reviewed in the United States on November 5, 1999",9 people found this helpful,Verified Purchase,"At its heart this book is about how one must make painful, uncertain decisions in painful, uncertain times -- and how one particular person and family lived with the impact of those decisions long after WWII had ended.  Reading about Betty's life, as well as her husband, Otto (not to mention  Richie), is a poignant, moving experience. All emerge as real people with  real virtues and real flaws -- products of the time and place in which they  were forced to grow up too quickly and in a world turned upside down. The  book works because of the well-crafted details: Betty's pre-war memories of  her mother's delicate tea cups and jam jars lined up neatly in a row; the  daily decisions her mother -- and others -- made during the war to protect  themselves or to escape the enemy; the description of how a friend, who  chose to pass as a gentile, was lost; and the pain in Otto's voice -- a man  who had resigned himself to always be second fiddle. No wonder he worked so  hard.  ""To See You Again"" reminds us that we're all too human,  that some choices stay with you forever, and that we can grow to accept and  even to embrace them."
12,052594480X,R2MXZNB9LF8D9U,To See You Again:  Purchased at Amazon.com,5.0 out of 5 stars,"Reviewed in the United States on June 22, 2012",,Verified Purchase,"I can't get over this book, I read it in one day.  Never have I read a book like this, it just captivated me.  The authors mother was just fanatastic keeping her family together while being forced to walk to a concentration camp, and then making sure they survived the time in camp.  At first I felt bad when the author married a man she really didn't seem to love, but after seeing how she treated him during almost 30 years of marriage I felt rather angry at her.  On the other hand, how hard it must be to lose your first love and never know if he survived the war.  In the end I was very glad she stayed with her husband.  I think so many of the problems with the author and her husband was the fact that they never really dealt with living through the Holocaust and were both keeping big secrets from each other.  I'm so very glad I got to read this book."
13,052594480X,R1Y2J382XEG40R,You'll not be able to put it down.,5.0 out of 5 stars,"Reviewed in the United States on May 19, 2018",,Verified Purchase,"One of those books you have to read straight through; love, through the horror of the Camps, and beyond."
14,052594480X,R1K1M87RRRXRC6,I loved this book,5.0 out of 5 stars,"Reviewed in the United States on February 22, 2015",,Verified Purchase,"I loved this book...it took a little while to pick up but once it did, the pages in the book seemed to turn way to fast and soon enough the book was over. This book left me feeling like there was a void in my heart... a must read...it's a true story of love and war!"
15,052594480X,R6FS8RDRZHY1G,Great,5.0 out of 5 stars,"Reviewed in the United States on July 24, 2018",,Verified Purchase,This book is very well written.  Heartwrenching story about love and survival
16,052594480X,RMQV9EAXIEAEO,As described,5.0 out of 5 stars,"Reviewed in the United States on December 22, 2013",One person found this helpful,Verified Purchase,"This book came in the condition it was described as.  Really such an incredible story, highly recommend for anyone interested in reading about a first hand experience.  While the main character (the writer) comes off a bit snotty it is all of the other people (most notably her amazing mother) that bring such life to the story."
17,052594480X,ROR1ENWDHT7KP,but an amazing story non-the-less,5.0 out of 5 stars,"Reviewed in the United States on November 18, 2017",,Verified Purchase,"The ending wasn't what I was expecting, but an amazing story non-the-less."
18,052594480X,R6USZVA61FOZX,More of a love story than about the Holocaust,4.0 out of 5 stars,"Reviewed in the United States on February 16, 2012",One person found this helpful,Verified Purchase,"I bought this book because it was on an approved book list for my college Holocaust class. Although I did like the book, if you are looking for a book to read about the Holocaust, I would NOT recommend this.Only the first half of the book is about the Holocaust, but the second half is more about Betty's love life than anything."
19,052594480X,RT0BGOCC1E7JL,Too see you Again,5.0 out of 5 stars,"Reviewed in the United States on January 14, 2019",,Verified Purchase,This is my favorite love story. I was happy to find the book online.
20,076242656X,R2HTHD0BQRWX90,Never again,1.0 out of 5 stars,"Reviewed in the United States on November 19, 2019",One person found this helpful,Verified Purchase,All accessories were missing in this book. That’s half the fun. Description clearly states that it comes with the accessories or I would never have bought! Infuriating. Also outside of book was beat up and covered in filth?
21,076242656X,R3N8Y508N2ZUJA,Love It!,5.0 out of 5 stars,"Reviewed in the United States on September 18, 2013",,Verified Purchase,-Unconventional
22,076242656X,R1RJZE918NQ69X,Incredible story and experience.,5.0 out of 5 stars,"Reviewed in the United States on September 3, 2020",,Verified Purchase,So many small details and work went into developing this story. They made this an entire detective story with actual evidence. Incredible!
23,076242656X,RN9B2SNMPO35L,Very entertaining!!,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2010",One person found this helpful,Verified Purchase,"I loved reading this book; it brought back memories of books I used to read when I was a child, in which you could choose the fate of the characters, or rather, be part of the story. Just like another reviewer wrote; ""is not Proust"" or anything similar but is great escapism. I read it all on a rainy afternoon and although I'm not in my teens, I could identified with the frustration Cathy's felt dealing with her evasive boyfriend, her know-it-all best friend and her (not at all) available mother. I just can't wait to read the sequel (is waiting patiently by my nightstand table)."
24,076242656X,R2RBQWMQWW6PKL,Waste of Money,1.0 out of 5 stars,"Reviewed in the United States on June 25, 2020",One person found this helpful,Verified Purchase,Bought a Like New copy because I figured it least that one would have the materials but it didnt have anything and the book itself was coming unglued from the cover.
25,076242656X,R25XQDT2Q2C9VT,Great find! Great book for creative mysteries,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2020",,Verified Purchase,I first read this book in middle school. I’m glad I find it years later here on Amazon. It came with all the packages of clues too!
26,076242656X,R3ECGHQMJ1WJJ2,Useless,1.0 out of 5 stars,"Reviewed in the United States on January 14, 2020",,Verified Purchase,Unfortunately this didn't meet expectations. It was ONLY the book. Completely useless without the clues for the mystery.
27,076242656X,R1A3HIMGTN98D1,Love It,5.0 out of 5 stars,"Reviewed in the United States on November 14, 2016",,Verified Purchase,"Great for completing my collection, Did not disappoint. Great condition!"
28,076242656X,R27MWJ1OJ9XUR2,Creative time passer,3.0 out of 5 stars,"Reviewed in the United States on December 7, 2008",,Verified Purchase,"This is a ""cute"" and interesting book for teens.  The reader that has never encountered this type of book before will be pleasantly surprised.  The content and writing quality is average, but I think this would be a great gift for a quirky, fun seeking pre-teen!"
29,076242656X,R2OGD7MJLECSQE,One Star,1.0 out of 5 stars,"Reviewed in the United States on November 16, 2016",5 people found this helpful,Verified Purchase,All the accessories were missing!
30,074349279X,RXUOQPCTOU225,What if....,4.0 out of 5 stars,"Reviewed in the United States on July 26, 2008",18 people found this helpful,,"""Suspicion torments my heart"
31,074349279X,R99H27F2KBYVW,A Wonderful Cure,5.0 out of 5 stars,"Reviewed in the United States on March 23, 2008",11 people found this helpful,,"Parts of the plot defy belief, and one of the characters (Amelia) is so self-righteous and judgmental I often wanted to smack her on the head, but despite these minor flaws, The Cure for Modern Life is a totally captivating book. The characters seem real and alive--flawed people trying to do their best in difficult and unusual circumstances. And while they find that there's no cure for modern life, and obstacles keep sending you off-course from where you planned to go, sometimes, if you get lucky, you might end up where you belong anyway."
32,074349279X,R32JEDAUTEC1IN,terrific character driven morality tale,5.0 out of 5 stars,"Reviewed in the United States on March 28, 2008",6 people found this helpful,,In Philadelphia they were young and in love with plans. Now they have  become enemy combatants.  Amelia Johannsen has devoted her life to helping the poor; while business executive Matthew Connelly has devoted his life to making money.
33,074349279X,RX7QEK8G4YCIT,Good but not sure I would recommend - if that makes sense,3.0 out of 5 stars,"Reviewed in the United States on January 16, 2012",One person found this helpful,,"I enjoyed this book but I am not sure I would recommend in that sometimes things are good but you can still do without - if that makes sense.  Admittedly, it's a page turner, you start off wondering where it's all going to go from here and I can't say I was ever bored and wanted to skip to the end... but maybe it's because it's such an implausible scenario that I just have a hard time saying ""you must read this book.""  But then perhaps I am biased - Amelia was very human and yet I did not like her character one bit!"
34,074349279X,R2I3ZIKLHWNQJ,Not a Cure for Boredom,2.0 out of 5 stars,"Reviewed in the United States on October 6, 2011",,,"I listened all the way through in the hope that the book would redeem itself, but throughout I found it difficult to care about these people. One too many stories about the evils of Big Pharma, I guess. At any rate, I found there were a few too many coincidences holding a thin plot together, and not enough character development or descriptive depth to really fire my imagination."
35,074349279X,R1G6M6BBSDUIF3,TUCKER IS THE CURE FOR MODERN LITERATURE,5.0 out of 5 stars,"Reviewed in the United States on August 13, 2008",5 people found this helpful,,"With each book Lisa Tucker gets better and better. She's that rare author who  writes beautiful, original stories with deep and meaningful characters."
36,074349279X,R33D57A9ERI5U7,Thoroughly Enjoyable,5.0 out of 5 stars,"Reviewed in the United States on July 1, 2008",One person found this helpful,,"What I found most interesting about this book was the contemporary story line. It addressed, in an exaggerated fashion, many issues that surround our society today. The characters were relatable and represented people you would cross paths with throughout life. This was such an easy read and I found myself not wanting to put it down. I have recommended this book to several people and think it is well worth the read."
37,074349279X,R4T0AGWFNV1ER,WORST BOOK I EVER READ!,1.0 out of 5 stars,"Reviewed in the United States on September 29, 2008",One person found this helpful,,"I've never written an Amazon review before... but this book was so AWFUL I felt had to warn others before they bought it or wasted time reading it. I read a lot, and certain themes tend to reappear in books, certain classic personas emerge in the disguise of new  characters, certain familiar plot lines are found interwoven in many stories but with interesting new twists & turns. Usually there is some originality in how these things are accomplished."
38,074349279X,R2LQJ7MFFKN8GE,Starts off with a bang . . .,2.0 out of 5 stars,"Reviewed in the United States on August 11, 2008",2 people found this helpful,,"I lept into this book, anxious to see where it would lead, but ultimately I feel disappointed.  The plot is a too complicated and frankly, unbelieveable.  I also thought there were a few loose ends that were not resolved.  The themes are terribly over-stated.  Amelia's constant shifting affection between Ben and Matthew grew tedious.  I guess we were supposed to just figure it was the hormones.  What an insult!"
39,074349279X,R2RH8BKO1AKE7J,"Implausible, Predictable .. Don't Waste Your Time Reading This",1.0 out of 5 stars,"Reviewed in the United States on January 13, 2012",,,"A friend thought I would like Lisa Tucker so I slogged through the whole book, hoping it would get better. From the beginning it was unrealistic, with implausible situations, too many convenient coincidences, and poorly developed, one-dimensional characters.  I could see the ending from early in the book. Reading this was a waste of time. I probably won't be buying any other of Tucker's novels."
40,052594480X,RYRCKWEW1CIXC,Separated by Nazi camps...,5.0 out of 5 stars,"Reviewed in the United States on September 12, 2014",One person found this helpful,Verified Purchase,"This story broke my heart but Betty's life story is one of the best I've read. I cried as Betty, upon being freed from the camp,  tried on clothes donated by Americans and twirled around feeling pretty again.  No one except perhaps Betty's mother in this book is perfect but they are admirable, beautiful people who overcame adversity of the worst kind to live good lives. The man she married selfishly did something that I would have probably considered unforgiveable if I'd been her.  Betty is a good role model for women and I wanted so much to tell her so but she died before I could do so. Anyone who has suffered from being separated for decades from their soul mate will appreciate this story."
41,052594480X,R2IRCBTAZGJ9SY,I liked it very much,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2014",,Verified Purchase,"I am a Hungarian woman, for me the book was unbelievable! I liked it very much, it was the most exciting holocaust book which I ever read. It was very personal. Thank you Betty!"
42,052594480X,R170BOL847MKF5,These people are wonderful. The story is true,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2014",,Verified Purchase,"Oh my goodness. This story brings a lump to my throat and tears to my eyes. These people are wonderful. The story is true, heartbreaking and inspiring."
43,052594480X,R17HN5X1D49X1U,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2015",,Verified Purchase,I LOVED this book. I was sorry that it ended!
44,052594480X,RLH2XN6RN08A7,A Poignant Story,5.0 out of 5 stars,"Reviewed in the United States on August 19, 2016",,Verified Purchase,Cannot put it down
45,052594480X,R2F4THJBWF94HP,A must read book,5.0 out of 5 stars,"Reviewed in the United States on July 29, 2016",,Verified Purchase,The best book I ever read!  Couldn't put it down.
46,052594480X,R2Z46MI86FQF87,wow...,5.0 out of 5 stars,"Reviewed in the United States on December 26, 2007",4 people found this helpful,Verified Purchase,
47,052594480X,R1L52IOECAFSEV,Love and War,5.0 out of 5 stars,"Reviewed in the United States on May 9, 2016",,Verified Purchase,Best read. I have sent copies of the book to many people. Also a love story.
48,052594480X,R1N1G7SL2F82R3,touching story,5.0 out of 5 stars,"Reviewed in the United States on January 13, 2011",,Verified Purchase,I don't know how to exactly capture the impact of this book in a review.  It was impossible to put down.  It was both heartbreaking and heart warming.  She seemed like such an amazing strong person.  This book educated me.  It made me appreciate the ease of the life I have led.  Such a sweet love story in the middle of such horror.
49,052594480X,RBIDZ4KQI762Q,"I had read it before, but it belonged to ...",5.0 out of 5 stars,"Reviewed in the United States on June 6, 2015",,Verified Purchase,"I had read it before, but it belonged to a friend and I wanted my own copy to share with my friends.  Will read it a gain sometime."
50,076242656X,RKM9XYQWCIT8P,This book had everything,5.0 out of 5 stars,"Reviewed in the United States on April 6, 2007",2 people found this helpful,Verified Purchase,"I loved this book. It had mystery, suspense and a great plot. The phone numbers were also good and when called, each one gave you something different."
51,076242656X,R2E82IFYNHNMNH,Great read.,5.0 out of 5 stars,"Reviewed in the United States on June 24, 2014",,Verified Purchase,The maps were missing  form the front but other wise it was avery interesting story. I loved alt he art work and doodles around  the story. Very creative.
52,076242656X,R3KJT2XTKVBSEK,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on May 9, 2015",,Verified Purchase,A Great read and fun interactions
53,076242656X,R3E0RN2FWEY0US,good,4.0 out of 5 stars,"Reviewed in the United States on June 19, 2011",,Verified Purchase,"The seller is very good and the book was new. I didn't like the history thought, but everybody has their own opinion, read and discover for yourself what you think."
54,076242656X,R2ZG2VVH1XUE1N,Interesting!,4.0 out of 5 stars,"Reviewed in the United States on June 21, 2010",,Verified Purchase,I am extremely interested in this type of novel mixing text with other 'media.' I am looking forward to reading the next book.
55,076242656X,R1JGVCQ57EZDOZ,No evidence?,1.0 out of 5 stars,"Reviewed in the United States on September 23, 2016",3 people found this helpful,Verified Purchase,I was really upset about this paperback book. I did not realize it did not actually have the evidence outside of the book. It's just on the book and it does not make me want to actually investigate. I read this book in middle school and was intrigued by all the things you can touch and hold and was so disappointed in what I received.
56,076242656X,RZY75PC0NIIZL,Not as Expected,2.0 out of 5 stars,"Reviewed in the United States on September 9, 2013",,Verified Purchase,"I had not known that this was a book designed for teen readers.  However, it held my interest, somewhat, and I finished reading it."
57,076242656X,R3SU3XDFYFEEUR,Best looking book she never read.,3.0 out of 5 stars,"Reviewed in the United States on June 23, 2014",,Verified Purchase,Bought this for my wife she was super excited at first and then found every reason not to finish it. Maybe not the best gift but as a husband it can gets hard to surprise someone you spend so much time with. I have looked through the book a few times myself but have never felt compelled to investigate it and sadly it just sits on the shelf.
58,076242656X,R10QZ9J8F0JXGU,Excellent Transmedia Experience,4.0 out of 5 stars,"Reviewed in the United States on December 4, 2014",One person found this helpful,,"Cathy's Book by Sean Stewart and Jordan Weisman has all the trappings of a typical young adult novel including just enough romantic, intrigue, and rebellious behavior to keep teen readers engaged. When you combine the social technology with the attractive journal format, this otherwise run-of-the-mill story becomes even more compelling."
59,076242656X,RAEUVDUDEEM6S,A unique and engaging read,4.0 out of 5 stars,"Reviewed in the United States on August 28, 2011",,,"I caught this one on the bargain shelf at Barnes and Noble. The whole packaging just drew me in (not to mention the $6 price!). The drawings, the package of stuff at the beginning, the whole journal set-up. For the price, I decided to give it a try."
60,074349279X,R3JWBEM80XMC3V,Good characters - story a little lacking,4.0 out of 5 stars,"Reviewed in the United States on July 3, 2008",,,"My first book review since high school - oh, boy! Before I start though, I have to ask why so many of these reviews do nothing else but give a synopsis of the plot line? Isn't that already done above? And what's the point of giving the story away before people read the book? Just say what's good or bad and that's it"
61,074349279X,R2N3M45A8E4MQW,Life is so simple,4.0 out of 5 stars,"Reviewed in the United States on May 2, 2008",,,This book/each character touched my heart in so many ways. It kept my attention all the way through. I didn't want this story to stop though it had the perfect ending to the cure for modern life. We all know what to do but spend more time complicating our lives and blindly following the darkness of our minds.
62,074349279X,RQ33TBXA5K4I0,Disappointed.,1.0 out of 5 stars,"Reviewed in the United States on July 11, 2008",2 people found this helpful,,"I could not believe this was the same author honestly. This book was so far fetched, predictable and sappy. I am glad I got from the library and did not invest any money in it. I hardly believe anyone has the power to get free rehab for a complete stranger at a pricey posh place. Letting two homeless kids live in your apartment and then end up with custody of them after all that? And then getting your ex girlfriend back with the generous gift of your best friends baby she is carrying? Ridiculous, really. Yes, fiction should take us away from real life, but this was just silly in my opinion."
63,074349279X,R1602KFJGODG6K,Good book,5.0 out of 5 stars,"Reviewed in the United States on June 25, 2017",,Verified Purchase,Required reading for a class but was pleasantly surprised at how good the book is
64,052594480X,R3HD70E21U3SS0,you have to read!,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2009",,Verified Purchase,"I read this book for my book club and it was wonderful. Easy read and once you start it, you will not be able to put it down.  One of the best books I have ever read.  Just make sure you have a box of tissues when reading it.  Enjoy!"
65,052594480X,R387QO20DQM6O2,Happy with Book,4.0 out of 5 stars,"Reviewed in the United States on January 23, 2008",One person found this helpful,Verified Purchase,"It took a week to receive the book and it was a little more ""used "" then I expected, but it was a great price and I don't mind reading a used book."
66,052594480X,R2D3MCPZXYVN0K,Amazing story! It's so hard to believe one person ...,5.0 out of 5 stars,"Reviewed in the United States on October 1, 2016",,Verified Purchase,Amazing story! It's so hard to believe one person could live such a diverse life from preholocaust to the 1970's.
67,052594480X,RZZ3273VD5A7I,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on November 21, 2016",,Verified Purchase,My favorite book ever! Thank you Betty Schimmel!!!
68,052594480X,R3J3MLZOVH3YAN,she falls in love with Richie,2.0 out of 5 stars,"Reviewed in the United States on February 4, 2015",One person found this helpful,Verified Purchase,"Betty Schimmel only writes from her point of view about an event that happened nearly sixty years before she it to pen and paper. Sixty years can color a lot of memories, and since she allowed those memories to put her life on a self induced hold which kept her from moving on with her life, she comes across as quite self-centered and manipulative.  While growing up in Budapest prior to Hitler's invasion, she falls in love with Richie, another Hungarian Jew. Their love is, in her eyes, is of what fairy tales are made. Unfortunately she, her mother, brother, and sister are forced by the Nazis to become part of the death march from Budapest to Vienna. Richie is sent to a different work camp. That part of her story is heart wrenching, but she allows the telling of her love story with Richie to overshadow the horror of Mauthausen, the concentration camp from which she is eventually liberated. The obsession with finding Richie and then dwelling on how miserable she had been throughout her most of her adult life with Otto, her husband, overshadowed the memoir for me. For me she came to be an unreliable narrator of the love affair with Richie and her say in the concentration camp. It seemed to me that the camp should have been more devastating and  more of an obstacle to a happy, self fulfilled life than dreaming of a lost Richie especially when Otto treated her like a princess. After my book club discussed it, several of us wondered what her purpose was in writing the book in the first place."
69,052594480X,RBP9TOKECLELH,Love in the Mist of Horror,5.0 out of 5 stars,"Reviewed in the United States on March 3, 2008",5 people found this helpful,,"I found this true powerful love story a page-turner.  Betty was just a teenager when she fell in love with her schoolmate Richie.  Betty, her mother Ethel, her sister Rose and a brother Larry were in Hungry during the Nazi occupation.  Her father worked in the Underground aiding fellow Jews."
70,052594480X,R2UWIP1LY1FALA,Nix the puppy love angle...,4.0 out of 5 stars,"Reviewed in the United States on April 10, 2007",One person found this helpful,,"An avid reader of historical fiction and non-fiction, especially pertaining to the Holocaust, I found Betty Schimmel's story to be a strong, engaging read. The story of her survival in a concentration camp as a teenager is nothing short of miraculous, as well as the way she rebuilt her life in the years following the war's end."
71,052594480X,RXGT8PJWUKDYF,Love- a raw honest  portrait of humanity seen from the perspective of war,5.0 out of 5 stars,"Reviewed in the United States on November 22, 2014",,,"Must read historical love story!  Whether you love or hate the characters, agree or disagree with their action and choices, it is a very compelling book that keeps you interested and involved in the story to the last page, and a critical documentation of life during WWII for many of those who never had the opportunity to tell their own story.  This story needs to live on as a testament to the power of human will, the strength of human love, the power of faith,  and the depths of evil that humanity can succumb to, so that we can learn from the past those things that are necessary for human relationships and those things which no human should ever have to experience again.  Yet these horrors are repeated in corners of the world,  sometimes with and sometimes without our knowledge.  We must always remember that we all have a little evil in us, and yet as humans we will always have more in common with one another than ways in which we differ."
72,052594480X,RZ6U4Y7PTUCA5,Sad survivor story that needs editing,3.0 out of 5 stars,"Reviewed in the United States on February 11, 2011",One person found this helpful,,"This is sad in a couple of ways. First, what happened to Betty, her family, and all of those affected by the Holocaust horrible. The psychological effects of their struggles are very evident in this novel. I appreciated her perspective, as there were a few new insights for me from that period in history."
